dataset,model,metric,best,median,mean,worst
ett,uni2ts,FSS_spearman_h96_score,-0.7363394176023947,-0.7363394176023947,-0.7363394176023947,-0.7363394176023947
ett,uni2ts,GSP_mask,0.0,0.0,0.0,0.0
ett,uni2ts,GSP_noise,0.0,0.0,0.0,0.0
ett,uni2ts,GSP_warp,-0.10987432301044464,-0.10987432301044464,-0.10987432301044464,-0.10987432301044464
ett,uni2ts,LCS_clean,-0.10987432301044464,-0.10987432301044464,-0.10987432301044464,-0.10987432301044464
ett,uni2ts,LCS_mask,-0.10987432301044464,-0.10987432301044464,-0.10987432301044464,-0.10987432301044464
ett,uni2ts,LCS_noise,-0.10987432301044464,-0.10987432301044464,-0.10987432301044464,-0.10987432301044464
ett,uni2ts,LCS_warp,0.0,0.0,0.0,0.0
ett,uni2ts,LTC_dir,-0.32473617792129517,-0.32473617792129517,-0.32473617792129517,-0.32473617792129517
ett,uni2ts,LTC_step,26.659677505493164,26.659677505493164,26.659677505493164,26.659677505493164
ett,uni2ts,PDS_spearman_mae_h96_score,-0.4261308365758754,-0.4261308365758754,-0.4261308365758754,-0.4261308365758754
ett,uni2ts,TSI_mask,1.0,1.0,1.0,1.0
ett,uni2ts,TSI_noise,1.0,1.0,1.0,1.0
ett,uni2ts,TSI_warp,0.0,0.0,0.0,0.0
