dataset,model,metric,value
traffic,NeurIPS2023-One-Fits-All,TSI_warp,0.0
traffic,NeurIPS2023-One-Fits-All,GSP_noise,0.0
traffic,NeurIPS2023-One-Fits-All,GSP_mask,0.0
traffic,NeurIPS2023-One-Fits-All,GSP_warp,-0.11244374513626099
traffic,NeurIPS2023-One-Fits-All,FSS_spearman_h96_score,-0.9180497356006874
traffic,NeurIPS2023-One-Fits-All,PDS_spearman_mae_h96_score,-0.009233377203021285
traffic,NeurIPS2023-One-Fits-All,LTC_step,1.6213438510894775
traffic,NeurIPS2023-One-Fits-All,LTC_dir,-0.5983802080154419
traffic,Sundial,LCS_clean,-0.04226921498775482
traffic,Sundial,LCS_noise,-0.04226921498775482
traffic,Sundial,LCS_mask,-0.04226921498775482
traffic,Sundial,LCS_warp,0.0
traffic,Sundial,TSI_noise,1.0
traffic,Sundial,TSI_mask,1.0
traffic,Sundial,TSI_warp,0.0
traffic,Sundial,GSP_noise,0.0
traffic,Sundial,GSP_mask,0.0
traffic,Sundial,GSP_warp,-0.04226921498775482
traffic,Sundial,FSS_spearman_h96_score,-0.16919518317635057
traffic,Sundial,PDS_spearman_mae_h96_score,-0.0014019226367589835
traffic,Sundial,LTC_step,6.774936199188232
traffic,Sundial,LTC_dir,-0.7646775245666504
traffic,Time-MoE,LCS_clean,-0.05009080469608307
traffic,Time-MoE,LCS_noise,-0.05009080469608307
traffic,Time-MoE,LCS_mask,-0.05009080469608307
traffic,Time-MoE,LCS_warp,0.0
traffic,Time-MoE,TSI_noise,1.0
traffic,Time-MoE,TSI_mask,1.0
traffic,Time-MoE,TSI_warp,0.0
traffic,Time-MoE,GSP_noise,0.0
traffic,Time-MoE,GSP_mask,0.0
traffic,Time-MoE,GSP_warp,-0.05009080469608307
traffic,Time-MoE,FSS_spearman_h96_score,-0.2901417287565213
traffic,Time-MoE,PDS_spearman_mae_h96_score,-0.028885328450446324
traffic,Time-MoE,LTC_step,1.766379714012146
traffic,Time-MoE,LTC_dir,-0.7103700637817383
traffic,UniTime,LCS_clean,-0.05271861329674721
traffic,UniTime,LCS_noise,-0.05271861329674721
traffic,UniTime,LCS_mask,-0.05271861329674721
traffic,UniTime,LCS_warp,0.0
traffic,UniTime,TSI_noise,1.0
traffic,UniTime,TSI_mask,1.0
traffic,UniTime,TSI_warp,0.0
traffic,UniTime,GSP_noise,0.0
traffic,UniTime,GSP_mask,0.0
traffic,UniTime,GSP_warp,-0.05271861329674721
traffic,UniTime,FSS_spearman_h96_score,-0.38174670101631253
traffic,UniTime,PDS_spearman_mae_h96_score,0.12060897802700844
traffic,UniTime,LTC_step,3.859849214553833
traffic,UniTime,LTC_dir,-0.4967189431190491
traffic,VisionTS,LCS_clean,-0.05202900618314743
traffic,VisionTS,LCS_noise,-0.05202900618314743
traffic,VisionTS,LCS_mask,-0.05202900618314743
traffic,VisionTS,LCS_warp,0.0
traffic,VisionTS,TSI_noise,1.0
traffic,VisionTS,TSI_mask,1.0
traffic,VisionTS,TSI_warp,0.0
traffic,VisionTS,GSP_noise,0.0
traffic,VisionTS,GSP_mask,0.0
traffic,VisionTS,GSP_warp,-0.05202900618314743
traffic,VisionTS,FSS_spearman_h96_score,-0.5587780216034266
traffic,VisionTS,PDS_spearman_mae_h96_score,0.14891494048981457
traffic,VisionTS,LTC_step,1.203405737876892
traffic,VisionTS,LTC_dir,-0.13869938254356384
traffic,moment,LCS_clean,-0.03654494136571884
traffic,moment,LCS_noise,-0.03654494136571884
traffic,moment,LCS_mask,-0.03654494136571884
traffic,moment,LCS_warp,0.0
traffic,moment,TSI_noise,1.0
traffic,moment,TSI_mask,1.0
traffic,moment,TSI_warp,0.0
traffic,moment,GSP_noise,0.0
traffic,moment,GSP_mask,0.0
traffic,moment,GSP_warp,-0.03654494136571884
traffic,moment,FSS_spearman_h96_score,-0.36609359642931677
traffic,moment,PDS_spearman_mae_h96_score,-0.08816734378576331
traffic,moment,LTC_step,2.818969488143921
traffic,moment,LTC_dir,-0.738660454750061
traffic,tirex,LCS_clean,-0.04386499896645546
traffic,tirex,LCS_noise,-0.04386499896645546
traffic,tirex,LCS_mask,-0.04386499896645546
traffic,tirex,LCS_warp,0.0
traffic,tirex,TSI_noise,1.0
traffic,tirex,TSI_mask,1.0
traffic,tirex,TSI_warp,0.0
traffic,tirex,GSP_noise,0.0
traffic,tirex,GSP_mask,0.0
traffic,tirex,GSP_warp,-0.04386499896645546
traffic,tirex,FSS_spearman_h96_score,-0.4970463462327626
traffic,tirex,PDS_spearman_mae_h96_score,-0.13577120050354768
traffic,tirex,LTC_step,8.888983726501465
traffic,tirex,LTC_dir,-0.11035580933094025
traffic,uni2ts,LCS_clean,-0.045232415199279785
traffic,uni2ts,LCS_noise,-0.045232415199279785
traffic,uni2ts,LCS_mask,-0.045232415199279785
traffic,uni2ts,LCS_warp,0.0
traffic,uni2ts,TSI_noise,1.0
traffic,uni2ts,TSI_mask,1.0
traffic,uni2ts,TSI_warp,0.0
traffic,uni2ts,GSP_noise,0.0
traffic,uni2ts,GSP_mask,0.0
traffic,uni2ts,GSP_warp,-0.045232415199279785
traffic,uni2ts,FSS_spearman_h96_score,-0.4849916121853234
traffic,uni2ts,PDS_spearman_mae_h96_score,-0.029114213778896766
traffic,uni2ts,LTC_step,9.636015892028809
traffic,uni2ts,LTC_dir,-0.15767072141170502
