dataset,weight_mode,label_mode,metric,best,median,mean,worst,delta_pretrained_minus_random
traffic,random-reset,na,PDS_pearson_mse_h192_score,-0.0832322119524236,-0.0908255874981332,-0.0898551587396331,-0.0955076767683427,0.0290995145480291
traffic,pretrained,na,PDS_pearson_mse_h336_score,-0.1210977640671697,-0.1303102006719833,-0.129389869114548,-0.136761642604491,-0.0857745124368719
traffic,random-reset,na,PDS_pearson_mse_h336_score,-0.0427259911603007,-0.0445356882351114,-0.045307822071688,-0.0486617868196519,-0.0857745124368719
traffic,pretrained,na,PDS_pearson_mse_h720_score,-0.1615270855830021,-0.171645739066273,-0.1706283055829482,-0.1787120920995695,-0.0791199312422718
traffic,random-reset,na,PDS_pearson_mse_h720_score,-0.0910020641717666,-0.0925258078240012,-0.0938292581345693,-0.09795990240794,-0.0791199312422718
traffic,pretrained,na,PDS_pearson_mse_h96_score,-0.1302958615228327,-0.1371671883809729,-0.1361325997098513,-0.1409347492257482,-0.06781272395928829
traffic,random-reset,na,PDS_pearson_mse_h96_score,-0.0691878452267614,-0.0693544644216846,-0.0698581043943769,-0.0710320035346845,-0.06781272395928829
traffic,pretrained,na,PDS_pearson_mse_havg_score,-0.0705481960140905,-0.0869379689370749,-0.0862599436565088,-0.101293666018361,-0.0077002962408773
traffic,random-reset,na,PDS_pearson_mse_havg_score,-0.074299189638377,-0.0792376726961976,-0.0787269558976043,-0.0826440053582382,-0.0077002962408773
traffic,pretrained,na,PDS_spearman_mae_h192_score,-0.1665639376695162,-0.1728270090179787,-0.1736911902568445,-0.1816826240830386,0.016058625444890784
traffic,random-reset,na,PDS_spearman_mae_h192_score,-0.1856215524541948,-0.1888856344628695,-0.1899748836989734,-0.195417464179856,0.016058625444890784
traffic,pretrained,na,PDS_spearman_mae_h336_score,-0.2033959935512297,-0.2117800744727114,-0.2106859972419633,-0.2168819237019489,-0.2761789068847918
traffic,random-reset,na,PDS_spearman_mae_h336_score,0.0694675115299664,0.0643988324120804,0.0626450186539407,0.0540687120197754,-0.2761789068847918
traffic,pretrained,na,PDS_spearman_mae_h720_score,-0.1669567933818564,-0.1791665236149735,-0.1758851859958114,-0.1815322409906043,-0.31462154601686865
traffic,random-reset,na,PDS_spearman_mae_h720_score,0.1466760866206612,0.1354550224018951,0.1314402468309281,0.112189631470228,-0.31462154601686865
traffic,pretrained,na,PDS_spearman_mae_h96_score,-0.234767766305032,-0.2393647324647234,-0.2382865101299672,-0.2407270316201462,-0.2139291579405134
