dataset,model,metric,best,median,mean,worst
csi800,chronos-forecasting,TSI_mask,1.0,1.0,1.0,1.0
csi800,chronos-forecasting,TSI_noise,1.0,1.0,1.0,1.0
csi800,chronos-forecasting,TSI_warp,0.0,0.0,0.0,0.0
csi800,moment,FSS_spearman_h96_score,-0.46529360210028115,-0.46529360210028115,-0.46529360210028115,-0.46529360210028115
csi800,moment,GSP_mask,0.0,0.0,0.0,0.0
csi800,moment,GSP_noise,0.0,0.0,0.0,0.0
csi800,moment,GSP_warp,-0.0748988538980484,-0.0748988538980484,-0.0748988538980484,-0.0748988538980484
csi800,moment,LCS_clean,-0.0748988538980484,-0.0748988538980484,-0.0748988538980484,-0.0748988538980484
csi800,moment,LCS_mask,-0.0748988538980484,-0.0748988538980484,-0.0748988538980484,-0.0748988538980484
csi800,moment,LCS_noise,-0.0748988538980484,-0.0748988538980484,-0.0748988538980484,-0.0748988538980484
csi800,moment,LCS_warp,0.0,0.0,0.0,0.0
csi800,moment,LTC_dir,-0.4354615807533264,-0.4354615807533264,-0.4354615807533264,-0.4354615807533264
csi800,moment,LTC_step,2.7262282371520996,2.7262282371520996,2.7262282371520996,2.7262282371520996
csi800,moment,PDS_spearman_mae_h96_score,-0.11615787365529869,-0.11615787365529869,-0.11615787365529869,-0.11615787365529869
csi800,moment,TSI_mask,1.0,1.0,1.0,1.0
csi800,moment,TSI_noise,1.0,1.0,1.0,1.0
csi800,moment,TSI_warp,0.0,0.0,0.0,0.0
csi800,tirex,FSS_spearman_h96_score,-0.3929721859114834,-0.3929721859114834,-0.3929721859114834,-0.3929721859114834
csi800,tirex,GSP_mask,0.0,0.0,0.0,0.0
csi800,tirex,GSP_noise,0.0,0.0,0.0,0.0
csi800,tirex,GSP_warp,-0.1107274740934372,-0.1107274740934372,-0.1107274740934372,-0.1107274740934372
csi800,tirex,LCS_clean,-0.1107274740934372,-0.1107274740934372,-0.1107274740934372,-0.1107274740934372
csi800,tirex,LCS_mask,-0.1107274740934372,-0.1107274740934372,-0.1107274740934372,-0.1107274740934372
csi800,tirex,LCS_noise,-0.1107274740934372,-0.1107274740934372,-0.1107274740934372,-0.1107274740934372
csi800,tirex,LCS_warp,0.0,0.0,0.0,0.0
csi800,tirex,LTC_dir,-0.2714747488498688,-0.2714747488498688,-0.2714747488498688,-0.2714747488498688
csi800,tirex,LTC_step,1.9372963905334473,1.9372963905334473,1.9372963905334473,1.9372963905334473
csi800,tirex,PDS_spearman_mae_h96_score,-0.22831096932936595,-0.22831096932936595,-0.22831096932936595,-0.22831096932936595
csi800,tirex,TSI_mask,1.0,1.0,1.0,1.0
csi800,tirex,TSI_noise,1.0,1.0,1.0,1.0
csi800,tirex,TSI_warp,0.0,0.0,0.0,0.0
csi800,uni2ts,FSS_spearman_h96_score,-0.5390125466440064,-0.5390125466440064,-0.5390125466440064,-0.5390125466440064
csi800,uni2ts,GSP_mask,0.0,0.0,0.0,0.0
csi800,uni2ts,GSP_noise,0.0,0.0,0.0,0.0
csi800,uni2ts,GSP_warp,-0.09921851754188538,-0.09921851754188538,-0.09921851754188538,-0.09921851754188538
csi800,uni2ts,LCS_clean,-0.09921851754188538,-0.09921851754188538,-0.09921851754188538,-0.09921851754188538
csi800,uni2ts,LCS_mask,-0.09921851754188538,-0.09921851754188538,-0.09921851754188538,-0.09921851754188538
csi800,uni2ts,LCS_noise,-0.09921851754188538,-0.09921851754188538,-0.09921851754188538,-0.09921851754188538
csi800,uni2ts,LCS_warp,0.0,0.0,0.0,0.0
