dataset,start_index,color_t,z_pretrained_dim1,z_pretrained_dim2,z_random_dim1,z_random_dim2
csi300,899,0.25418060200668896,4.8860807,8.785909,3.7934666,7.2703266
csi300,910,0.25752508361204013,4.6705775,8.413539,3.7218192,7.1003947
csi300,922,0.2608695652173913,4.411624,8.500238,3.579506,7.265379
csi300,934,0.26421404682274247,4.4562464,8.532108,5.3449116,6.2125998
csi300,946,0.26755852842809363,4.7163906,9.106612,3.593201,7.289316
csi300,958,0.2709030100334448,4.392603,8.828992,3.7125304,7.2187657
csi300,970,0.27424749163879597,7.2968583,7.2554255,5.4929914,6.2824774
csi300,981,0.27759197324414714,7.058767,7.681606,3.548263,7.249258
csi300,993,0.2809364548494983,7.059776,7.7215753,5.597232,6.228197
csi300,1005,0.2842809364548495,6.8141785,7.3275676,5.522138,6.277033
csi300,1017,0.28762541806020064,6.451433,7.546655,3.7922366,7.1691084
csi300,1029,0.2909698996655518,7.3398223,7.3846517,3.525859,7.3724017
csi300,1040,0.294314381270903,7.119695,7.562521,5.430524,6.208792
csi300,1052,0.29765886287625415,6.1003036,8.587169,3.6210923,7.3079324
csi300,1064,0.3010033444816054,7.5996423,9.120286,3.6605873,7.335131
csi300,1076,0.30434782608695654,5.6534004,8.863603,3.972834,9.160519
csi300,1088,0.3076923076923077,6.2344003,9.1451845,3.6668448,7.3404126
csi300,1100,0.3110367892976589,8.327504,9.536533,5.4540586,6.3656936
csi300,1111,0.31438127090301005,7.658246,9.666278,5.45864,9.631802
csi300,1123,0.3177257525083612,7.4022527,9.726653,5.4477763,6.267384
csi300,1135,0.3210702341137124,7.125359,9.433313,3.6648574,7.3713226
csi300,1147,0.32441471571906355,6.9038744,9.663073,3.8500817,7.0758734
csi300,1159,0.3277591973244147,8.831071,9.797848,3.6418083,7.2785482
csi300,1171,0.3311036789297659,7.884871,9.244886,3.6742601,7.2683754
csi300,1182,0.33444816053511706,7.5094423,8.837931,3.582602,7.455078
csi300,1194,0.3377926421404682,8.201094,8.155572,3.6351979,7.130807
csi300,1206,0.3411371237458194,8.043926,8.904514,3.625496,7.210753
csi300,1218,0.34448160535117056,7.8800707,8.4706745,5.355135,6.358652
csi300,1230,0.34782608695652173,7.939093,8.172223,3.736722,7.2202253
csi300,1242,0.3511705685618729,6.30177,8.149764,3.85314,8.986576
csi300,1253,0.35451505016722407,8.74055,8.501308,3.6556094,7.244716
csi300,1265,0.35785953177257523,8.714706,8.566565,3.776583,7.179769
csi300,1277,0.3612040133779264,8.69928,8.875819,3.7322211,7.2201176
csi300,1289,0.36454849498327757,5.2254987,8.728236,3.6799862,7.192065
csi300,1301,0.36789297658862874,4.093342,8.654168,3.7719252,7.147819
csi300,1313,0.3712374581939799,4.042951,8.574927,5.28018,6.2744985
csi300,1324,0.3745819397993311,3.8938243,8.354453,3.5954335,7.3452287
csi300,1336,0.37792642140468224,4.0902743,7.72664,3.7000756,7.09928
csi300,1348,0.3812709030100334,7.974162,9.743178,3.5543764,7.375527
csi300,1360,0.3846153846153846,7.7431736,9.400432,3.740106,7.22498
csi300,1372,0.3879598662207358,7.785787,9.186491,3.6463745,7.23944
csi300,1384,0.391304347826087,6.8923254,9.328224,5.4846134,9.613304
csi300,1395,0.39464882943143814,6.4888477,8.295958,3.7122073,7.40804
csi300,1407,0.3979933110367893,8.315246,8.454108,3.6860657,7.3053927
csi300,1419,0.4013377926421405,6.4551654,8.435515,4.1425447,9.226787
csi300,1431,0.40468227424749165,6.9320393,8.739214,5.406434,6.297747
csi300,1443,0.4080267558528428,6.7894015,8.592915,3.5670197,7.230684
csi300,1455,0.411371237458194,4.3612814,7.1292763,5.222739,6.384937
csi300,1466,0.41471571906354515,4.58736,6.7373433,3.6813474,7.329222
csi300,1478,0.4180602006688963,4.49723,6.661246,3.527627,7.4752245
csi300,1490,0.4214046822742475,3.9374444,7.6384406,5.4007363,9.48853
csi300,1502,0.42474916387959866,3.8896859,8.421478,3.8394473,9.297595
csi300,1514,0.4280936454849498,7.418604,9.592757,3.6499374,7.354395
csi300,1525,0.431438127090301,8.487019,9.454583,5.315745,9.496079
csi300,1537,0.43478260869565216,6.392911,9.51824,4.1663346,9.15043
csi300,1549,0.43812709030100333,8.038855,10.169855,3.6555676,7.153867
csi300,1561,0.4414715719063545,8.626219,10.133679,3.7634423,7.095804
csi300,1573,0.44481605351170567,8.178561,10.19646,3.721971,7.219345
csi300,1585,0.44816053511705684,7.8214545,10.16246,5.6008625,6.17985
csi300,1596,0.451505016722408,7.6277027,10.400476,3.7134614,7.281207
csi300,1608,0.45484949832775917,7.228842,10.420733,5.3992457,9.602655
csi300,1620,0.45819397993311034,7.3626213,10.526546,3.7189429,7.222417
csi300,1632,0.4615384615384615,9.600748,9.727467,3.781825,7.083053
csi300,1644,0.4648829431438127,8.671065,9.44166,3.7656105,7.1210127
csi300,1656,0.46822742474916385,6.801652,7.527045,3.8083177,7.029344
csi300,1667,0.47157190635451507,8.160636,6.9268885,3.7073464,7.189506
csi300,1679,0.47491638795986624,6.3867764,7.0714316,3.662186,7.2924385
csi300,1691,0.4782608695652174,8.627115,7.858221,3.6485088,7.295359
csi300,1703,0.4816053511705686,6.888844,10.20848,3.6087983,7.384703
csi300,1715,0.48494983277591974,8.378871,10.331693,3.6258264,7.2670336
csi300,1727,0.4882943143812709,9.277405,8.757284,3.5372388,7.3908353
csi300,1738,0.4916387959866221,7.6426992,10.5647,5.5222588,6.2423596
csi300,1750,0.49498327759197325,9.819261,9.290551,5.254839,6.241877
csi300,1762,0.4983277591973244,8.062088,7.530715,3.7343822,7.251179
csi300,1774,0.5016722408026756,6.918064,9.787428,5.4349146,6.20399
