date,value
2018-07-16,-0.56010145
2018-07-17,-0.6172456
2018-07-18,-0.5008378
2018-07-19,-0.11177594
2018-07-20,1.6435521
2018-07-23,0.80390716
2018-07-24,1.3799492
2018-07-25,-0.1327575
2018-07-26,-1.0682642
2018-07-27,-0.4128799
2018-07-30,-0.18997076
2018-07-31,0.030957095
2018-08-01,-1.8145863
2018-08-02,-2.0101557
2018-08-03,-1.5062264
2018-08-06,-1.1636798
2018-08-07,2.5682917
2018-08-08,-1.4724275
2018-08-09,2.1978264
2018-08-10,0.162052
2018-08-13,-0.4184679
2018-08-14,-0.49255142
2018-08-15,-2.1728768
2018-08-16,-0.44718346
2018-08-17,-1.3155757
2018-08-20,1.0039597
2018-08-21,1.5857704
2018-08-22,-0.53518915
2018-08-23,0.29080975
2018-08-24,0.10811612
2018-08-27,2.1427643
2018-08-28,-0.20189573
2018-08-29,-0.39075634
2018-08-30,-0.96802014
2018-08-31,-0.47559088
2018-09-03,-0.37324336
2018-09-04,1.0943557
2018-09-05,-1.7764423
2018-09-06,-0.98713195
2018-09-07,0.36881864
2018-09-10,-1.3279415
2018-09-11,-0.19596778
2018-09-12,-0.6476291
2018-09-13,0.9269494
2018-09-14,0.11770921
2018-09-17,-1.0560365
2018-09-18,1.7593808
2018-09-19,1.1390703
2018-09-20,-0.09779
2018-09-21,2.6675584
2018-09-25,-0.8361019
2018-09-26,0.95273286
2018-09-27,-0.3903898
2018-09-28,0.88922507
2018-10-08,-3.0
2018-10-09,-0.0941833
2018-10-10,-0.22659023
2018-10-11,-3.0
2018-10-12,1.2952474
2018-10-15,-1.2787809
2018-10-16,-0.76061076
2018-10-17,0.46199802
2018-10-18,-2.145091
2018-10-19,2.616342
2018-10-22,3.0
2018-10-23,-2.401034
2018-10-24,0.0993198
2018-10-25,0.13630046
2018-10-26,-0.6111477
2018-10-29,-2.7510598
2018-10-30,0.93216556
2018-10-31,1.2138071
2018-11-01,0.6214579
2018-11-02,3.0
2018-11-05,-0.7768064
2018-11-06,-0.572037
2018-11-07,-0.6180371
2018-11-08,-0.2871021
2018-11-09,-1.2917576
2018-11-12,1.026216
2018-11-13,0.8620712
2018-11-14,-0.9273743
2018-11-15,1.0063607
2018-11-16,0.38618818
2018-11-19,0.9758496
2018-11-20,-2.0954258
2018-11-21,0.1894502
2018-11-22,-0.36761287
2018-11-23,-2.0014708
2018-11-26,-0.09765721
2018-11-27,-0.14793327
